"","STATE","Mean","Outs","Bases","O"
"1","000 0",0.473882820258193,"OUTS = 0","000","0"
"2","000 1",0.251440004850543,"OUTS = 1","000","1"
"3","000 2",0.0988067903790417,"OUTS = 2","000","2"
"4","001 0",1.40114068441065,"OUTS = 0","003","0"
"5","001 1",0.96436170212766,"OUTS = 1","003","1"
"6","001 2",0.363046448087432,"OUTS = 2","003","2"
"7","010 0",1.11094178604084,"OUTS = 0","020","0"
"8","010 1",0.663797740720818,"OUTS = 1","020","1"
"9","010 2",0.303656154060843,"OUTS = 2","020","2"
"10","011 0",2.045,"OUTS = 0","023","0"
"11","011 1",1.36557610241821,"OUTS = 1","023","1"
"12","011 2",0.559868780754511,"OUTS = 2","023","2"
"13","100 0",0.857752225519288,"OUTS = 0","100","0"
"14","100 1",0.504611536657808,"OUTS = 1","100","1"
"15","100 2",0.226615678776291,"OUTS = 2","100","2"
"16","101 0",1.71139510117146,"OUTS = 0","103","0"
"17","101 1",1.12094117647059,"OUTS = 1","103","1"
"18","101 2",0.452830188679245,"OUTS = 2","103","2"
"19","110 0",1.47273440564927,"OUTS = 0","120","0"
"20","110 1",0.888178209086899,"OUTS = 1","120","1"
"21","110 2",0.429608641756685,"OUTS = 2","120","2"
"22","111 0",2.28654124457308,"OUTS = 0","123","0"
"23","111 1",1.59009009009009,"OUTS = 1","123","1"
"24","111 2",0.792572944297082,"OUTS = 2","123","2"
